Name, Gender
محمود ,male
MAHMOUD,male
محمود ,male
MAHMUD,male
محمود ,male
MAHOMET,male
MAHOMETUS,male
MAJID,male
مجيد ,male
MAKRAM,male
مكرم ,male
MALAIKA,female
ملائكة ,female
MALAK,female
ملك ,female
MALIK ,male
ملك ,male
MALIKA,female
ملكة ,female
MANSOOR,male
منصور ,male
MANSUR,male
منصور ,male
MARAM,female
مرام ,female
MARIAM,female
مريم ,female
MARWA,female
مروة ,female
MARYAM,female
مريم ,female
MASOOD,male
مسعود ,male
MASOUD,male
مسعود ,male
MAS'UD,male
مسعود ,male
MASUMA,female
معصومة ,female
MAZIN,male
مازن ,male
MIDHA,female
مدحة ,female
MIDHAT,male
MIHAMMAD,male
محمّد ,male
MIKHA'IL,male
ميخائيل ,male
MIRAJ,male
معراج ,male
MIRZA,male
ميرزا ,male
MIS'ID,male
مسعد ,male
MOHAMED,male
محمّد ,male
MOHAMMAD,male
محمّد ,male
MOHAMMED,male
محمّد ,male
MONA ,female
منى ,female
MOSTAFA,male
مصطفى ,male
MOUNA,female
منى ,female
MUBIN,male
مبين ,male
MUBINA,female
مبينة ,female
MUFADDAL,male
مفضّل ,male
MUHAMMAD,male
محمّد ,male
MUHAMMED,male
محمّد ,male
MUHSIN,male
محسن ,male
MUHSINA,female
محسنة ,female
MUKHTAR,male
مختار ,male
MUMIN,male
مؤمن ,male
MUMINA,female
مؤمنة ,female
MUMTAZ,male
ممتاز ,male
MUNA,female
منى ,female
MUNIR,male
منير ,male
MUNIRA,female
منيرة ,female
MUNYA,female
منية ,female
MURAD,male
مراد ,male
MURTADA,male
مرتضى ,male
MURTAZA,male
مرتضى ,male
MUSA,male
موسى ,male
MUS'AD,male
مسعد ,male
MUSTAFA,male
مصطفى ,male
MUSTAPHA,male
مصطفى ,male
MU'TAMID,male
معتمد ,male
MU'TASIM,male
معتصم ,male
NABIL,male
نبيل ,male
NABILA,female
نبيلة ,female
NADA ,female
ندى ,female
NADER,male
نادر ,male
NADIA ,female
نديّة ,female
NADIM,male
نديم ,male
NADIR,male
نادر ,male
NADIRA,female
نادرة ,female
NADIYYA,female
نديّة ,female
NADRA,female
نضرة ,female
NADYA ,female
نديّة ,female
NAGI,male
نجيّ ,male
NAGIB,male
نجيب ,male
NAIL,male
نائل ,male
NAILA,female
نائلة ,female
NA'IM,male
نعيم ,male
NA'IMA,female
نعيمة ,female
NAJI,male
نجيّ ,male
NAJIB,male
نجيب ,male
NAJWA,female
نجوى ,female
NASEEM,male
نسيم ,male
NASEER,male
نصير ,male
NASHWA,female
نشوى ,female
NASIB,male
نسيب ,male
NASIM,male
نسيم ,male
NASIR,male
ناصر,male
 نصير ,male
NASIRA,female
ناصرة,female
 نصيرة ,female
NASSER,male
ناصر ,male
NASSIM,male
نسيم ,male
NAVEED,male
نويد ,male
NAVID,male
نويد ,male
NAWAL,female
نوال ,female
NAWRA,female
نورة ,female
NAZIH,male
نزيه ,male
NAZIHA,female
نزيهة ,female
NAZLI,female
نظلي ,female
NIDA,female
نداع ,female
NIMA ,female
نعمة ,female
NIMAT,female
نعمات ,female
NIZAR,male
نزار ,male
NOOR ,female
نور ,female
NOUR,female
نور ,female
NOUREDDINE,male
نور الدين ,male
NUH,male
نوح ,male
NUHA,female
نهى ,female
NUR,female
نور ,female
NURA,female
نورة ,female
NUR AD-DIN,male
نور الدين ,male
NURUDDIN,male
نور الدين ,male
NURUL,male
نور ال ,male
NURULLAH,male
نور الله ,male
OMAR ,male
عمر ,male
OSAMA,male
أسامة ,male
QADIR,male
قدير ,male
QAMAR,male
قمر ,male
QASIM,male
قاسم ,male
QISMAT,male
قسمة ,male
QUSAY,male
قصي ,male
RAABI'A,female
رابعة ,female
RABAB,female
رباب ,female
RABI,male
ربيع ,male
RABI'A,female
ربيعة ,female
RA'D,male
رعد ,male
RAFIQ,male
رفيق ,male
RAFIQA,female
رفيقة ,female
RAHAT,male
راحة ,male
RAHEEM,male
رحيم ,male
RAHIM,male
رحيم ,male
RAHMAN,male
رحمان ,male
RAIS,male
رئيس ,male
RAISA ,female
رئيسة ,female
RAJA ,female
رجاء ,female
RAJAB,male
رجب ,male
RAJIYA,female
رجية ,female
RAJYA,female
رجية ,female
RAMADAN,male
رَمَضان ,male
RAMLA,female
رملة ,female
RAMLAH,female
رملة ,female
RANA,female
رنا ,female
RANDA,female
رندة ,female
RANIYA,female
رانية ,female
RANYA,female
رانية ,female
RASHA,female
رشا ,female
RASHAD,male
رشاد ,male
RASHED,male
راشد ,male
RASHEED,male
رشيد ,male
RASHID,male
رشيد,male
 راشد ,male
RASHIDA,female
رشيدة,female
 راشدة ,female
RASIM,male
راسم ,male
RASIMA,female
راسمة ,female
RASUL,male
رسول ,male
RAUF,male
رؤوف ,male
RAWIYA,female
راوية ,female
RAWYA,female
راوية ,female
RAYAN,male
ريّان ,male
RAYHANA,female
رَيحانة ,female
RAYYAN,male
ريّان ,male
RAZA,male
رضاء ,male
REEM,female
ريم ,female
RIAD,male
رياض ,male
RIAZ,male
رياض ,male
RIDA,male
رضاء ,male
RIDHA,male
رضاء ,male
RIDWAN,male
رضوان ,male
RIDWANA,female
رضوانة ,female
RIFAT,male
رفعة ,male
RIHANNA,female
رَيحانة ,female
RIM,female
ريم ,female
RIZWAN,male
رضوان ,male
RIZWANA,female
رضوانة ,female
RUBA,female
ربى ,female
RUH,male
روح ,male
RUQAYYA,female
رقيّة ,female
RUQAYYAH,female
رقيّة ,female
RUSUL,male
رسل ,male
RUWA,female
رواء ,female
RUYA,female
رؤية ,female
SA'ADAT,female
سعادة ,female
SABAH,female
صباح ,female
SABAH UD-DIN,male
عزّ الدين ,male
SABEEN,female
SABRI,male
صبريّ ,male
SABRIYYA,female
صبريّة ,female
SA'D,male
سعد ,male
SADAF,female
صدف ,female
SADDAM,male
صدّام ,male
SA'DI,male
سعدي ,male
SA'DIA,female
سعدية ,female
SAFI,male
صفيّ ,male
SAFIYA,female
صفيّة ,female
SAFIYYAH,female
صفيّة ,female
SAHAR,female
سحر ,female
SA'ID,male
سعيد ,male
SA'IDA,female
سعيدة ,female
SAIF,male
سيف ,male
SAIF AL-DIN,male
سيف الدين ,male
SAIFUL,male
سيف ال ,male
SAIFULLAH,male
سيف الله ,male
SAJJAD,male
سجّاد ,male
SAKHR,male
صخر ,male
SAKINA,female
سكينة ,female
SALAH,male
صلاح ,male
SALAH AL-DIN,male
صلاح الدين ,male
SALEEM,male
سليم ,male
SALEH,male
صالح ,male
SALHA,female
صالحة ,female
SALIH,male
صالح ,male
SALIHA,female
صالحة ,female
SALIL,male
سليل ,male
SALIM,male
سليم ,male
SALIMA,female
سليمة ,female
SALMA,female
سلمى ,female
SALMAN,male
سلمان ,male
SALWAH,female
سلوة ,female
SAMAD,male
صمد ,male
SAMAR,female
سمر ,female
SAMEER,male
سمير ,male
SAMEERA,female
سميرة ,female
SAMI ,male
سامي ,male
SAMIA,female
سامية ,female
SAMINA,female
ثمينة ,female
SAMIR ,male
سمير ,male
SAMIRA,female
سميرة ,female
SAMIYA,female
سامية ,female
SANA,female
سناء ,female
SANAA ,female
سناء ,female
SANI,male
سنيّ ,male
SANIYYA,female
سنيّة ,female
SANYA ,female
سنيّة ,female
SARA,female
سارة ,female
SARAH,female
سارة ,female
SAWSAN,female
سوسن ,female
SAYYID,male
سيّد ,male
SAYYIDA,female
سيّدة ,female
SELIMA,female
سليمة ,female
SHAD ,male
شاد ,male
SHADI ,male
شادي ,male
SHADIYA,female
شادية ,female
SHADYA,female
شادية ,female
SHAFAQAT,male
شفقة ,male
SHAFIQ,male
شفيق ,male
SHAFIQA,female
شفيقة ,female
SHAHD,female
شهد ,female
SHAHID,male
شاهد ,male
SHAHIRA,female
شهيرة ,female
SHAHNAZ,female
شهناز ,female
SHAHRAZAD,female
شهرزاد ,female
SHAHRIZAD,female
شهرزاد ,female
SHAHZAD,male
شهزاد ,male
SHAIMAA,female
شيماء ,female
SHAKEEL,male
شكيل ,male
SHAKIL,male
شكيل ,male
SHAKILA,female
شكيلة ,female
SHAKIR,male
شاكر ,male
SHAKIRA,female
شاكرة ,female
SHAKUR,male
شكور ,male
SHAKURA,female
شكورة ,female
SHAM'A,female
شمعة ,female
SHAMS AL-DIN,male
شَمس الدين ,male
SHAMSUDDIN,male
شَمس الدين ,male
SHAREEF,male
شريف ,male
SHARIAH,male
شريعة ,male
SHARIF,male
شريف ,male
SHARIFA,female
شريفة ,female
SHARIFAH,female
شريفة ,female
SHAYMA,female
شيماء ,female
SHAZI,female
شذيّ ,female
SHERIF,male
شريف ,male
SHIHAB,male
شهاب ,male
SHUKRI,male
شكريّ ,male
SHUKRIYA,female
شكريّة ,female
SHUKRIYYA,female
شكريّة ,female
SHULA,female
شعلة ,female
SUHA,female
سها ,female
SUHAIL,male
سهيل ,male
SUHAILA,female
سهيلة ,female
SUHAYL,male
سهيل ,male
SULAIMAN,male
سليمان ,male
SULAYMAN,male
سليمان ,male
SULTAN,male
سلطان ,male
SULTANA,female
سلطانة ,female
SUMAYYA,female
سميّة ,female
SURAYA,female
ثريّة,female
 ثريّا ,female
SURAYYA,female
ثريّة,female
 ثريّا ,female
TABASSUM,male
تبسّم ,male
TAHA,male
طه ,male
TAHIR,male
طاهر ,male
TAHIRA,female
طاهرة ,female
TAHMID,male
تحميد ,male
TAJ,male
تاج ,male
TALAAT,male
طَلعَت ,male
TAL'AT,male
طَلعَت ,male
TALIB,male
طالب ,male
TALIBA,female
طالبة ,female
TAMID,male
تمد ,male
TAREK,male
طارق ,male
TARIK,male
طارق ,male
TARIQ,male
طارق ,male
TASNIM,female
تسنيم ,female
TAWFIQ,male
توفيق ,male
TAYEB,male
طيّب ,male
TAYYIB,male
طيّب ,male
THAMINA,female
ثمينة ,female
THAMIR,male
ثامر ,male
THANA,female
ثناء ,female
THURAYYA,female
ثريّة,female
 ثريّا ,female
TOUFIK,male
توفيق ,male
TUBA,female
طوبى ,female
TUFAYL,male
طفيل ,male
UMAR,male
عمر ,male
USAMA,male
أسامة ,male
USMAN,male
عثمان ,male
UTHMAN,male
عثمان ,male
UZMA,female
عظمى ,female
WADUD,male
ودود ,male
WAFAI,male
وفائي ,male
WAFI,male
وفي ,male
WAFIYA,female
وفيّة ,female
WAHEED,male
وحيد ,male
WAHEEDA,female
وحيدة ,female
WAHID,male
وحيد ,male
WAHIDA,female
وحيدة ,female
WALID,male
وليد ,male
WAQAR,male
وقار ,male
WASI,male
واسع ,male
WASIM,male
وسيم ,male
WASSIM,male
وسيم ,male
WIDAD,female
وداد ,female
YAHYA,male
يحيى ,male
YAKUB,male
يعقوب ,male
YAQOOB,male
يعقوب ,male
YAQUB,male
يعقوب ,male
YASER,male
ياسر ,male
YASIN,male
ياسين ,male
YASIR,male
ياسر ,male
YASMEEN,female
يسمين ,female
YASMIN,female
يسمين ,female
YASMINE,female
يسمين ,female
YASSER,male
ياسر ,male
YOUSEF,male
يوسف ,male
YOUSSEF,male
يوسف ,male
YUHANNA,male
يوحنّا ,male
YUNUS,male
يونس ,male
YUSEF,male
يوسف ,male
YUSHUA,male
يوشع ,male
YUSRA,female
يسرى ,female
YUSUF,male
يوسف ,male
ZAAHIR ,male
زاهر ,male
ZAAHIR ,male
ظاهر ,male
ZAAHIRA,female
زاهرة ,female
ZAHI,male
زاهي ,male
ZAHIA,female
زاهية ,female
ZAHID,male
زاهد ,male
ZAHIDA,female
زاهدة ,female
ZAHIR,male
ظهير ,male
ZAHIRA,female
ظهيرة ,female
ZAHRA,female
زهراء ,female
ZAHRAH,female
زهرة ,female
ZAID,male
زيد ,male
ZAIDA,female
ZAIN,male
زين ,male
ZAINA,female
زينة ,female
ZAINAB,female
زينب ,female
ZAKARIA,male
زَكَرِيّا ,male
ZAKARIYA,male
زَكَرِيّا ,male
ZAKARIYYA,male
زَكَرِيّا ,male
ZAKI,male
زكيّ ,male
ZAKIAH,female
ذكيّة ,female
ZAKIYA,female
ذكيّة ,female
ZAKIYYA,female
ذكيّة ,female
ZAMAN,male
زمان ,male
ZARAY,female
ZAYD,male
زيد ,male
ZAYN,male
زين ,male
ZAYNA,female
زينة ,female
ZAYNAB,female
زينب ,female
ZIA,male
ضياء ,male
ZIAD,male
زياد ,male
ZIAUDDIN,male
ضياء الدين ,male
ZINAT,female
زينة ,female
ZIYA,male
ضياء ,male
ZIYA AL-DIN,male
ضياء الدين ,male
ZIYAD,male
زياد ,male
ZUBAIDA,female
زبيدة ,female
ZULAYKHA,female
زليخا ,female
ZULEKHA,female
زليخا ,female
ZULFAQAR,male
ذو الفقار ,male
ZULFIKAR,male
ذو الفقار ,male
ZULFIQAR,male
ذو الفقار ,male
